徵才名稱,徵才公司,徵才日期,其他條件,徵才網址
明基虹韻-數據分析人員,虹韻國際貿易股份有限公司,2021/08/24,"['Excel', 'Power BI\u200b']",www.104.com.tw/job/79x3h?jobsource=jolist_c_relevance
會員行為數據分析專員(和雲企劃部),和運租車股份有限公司,2021/08/20,"['Google Analytics', 'Firebase', 'Power BI\u200b']",www.104.com.tw/job/7avri?jobsource=jolist_c_relevance
社群行銷專員,植物專家-臺灣威瑪舒培有限公司,2021/08/25,"['Adobe Photoshop', 'Illustrator']",www.104.com.tw/job/7cpg7?jobsource=hotjob_chr
科服處-技術研發部資料科學組_Data Analyst 資深資料工程師(數據分析組),全球快遞_全球商務科技股份有限公司,2021/08/25,"['Java', 'Python', 'ETL', 'SPC']",www.104.com.tw/job/7d5mn?jobsource=jolist_c_relevance
統一超商數據分析師,統一超商股份有限公司,2021/08/16,無,www.104.com.tw/job/6zoti?jobsource=jolist_c_relevance
行銷數據分析實習生【明基BenQ雲端創新中心】,明基電通股份有限公司,2021/08/25,無,www.104.com.tw/job/6o2bd?jobsource=jolist_d_relevance
行銷數據分析師,PayEasy網路購物_康迅數位整合股份有限公司,2021/08/23,"['MS SQL', 'Excel', 'PowerPoint', 'Word', 'Google Analytics', 'Firebase']",www.104.com.tw/job/7bvz9?jobsource=jolist_c_relevance
行銷數據分析師【明基BenQ雲端創新中心】,明基電通股份有限公司,2021/08/25,"['HTML', 'JavaScript', 'CSS', 'Tableau', 'Google Analytics', 'Google Tag Manager']",www.104.com.tw/job/6lg8y?jobsource=jolist_c_relevance
行銷部-數據分析師,全聯福利中心_全聯實業股份有限公司,2021/08/25,無,www.104.com.tw/job/7bkfe?jobsource=jolist_c_relevance
資料庫與數據分析師 Data and Analytics Engineer(建築與人居環境部-台北),艾奕康工程顧問股份有限公司,2021/08/03,無,www.104.com.tw/job/6y5r2?jobsource=jolist_c_relevance
資料數據分析師 Data analyst,新加坡商晚安有限公司台灣分公司,2021/08/12,"['Python', 'R', 'SAS']",www.104.com.tw/job/750o4?jobsource=jolist_c_relevance
資深專案數據分析師-營運分析部,OB嚴選_橘熊科技股份有限公司,2021/08/24,"['Python', 'R', 'Tableau']",www.104.com.tw/job/703rp?jobsource=jolist_c_relevance
資深數據分析人員(數據分析部),國泰綜合證券股份有限公司,2021/08/20,無,www.104.com.tw/job/6uj8e?jobsource=jolist_c_relevance
資深會計暨數據分析管理師,春霖國際股份有限公司,2021/08/19,"['Excel', 'Outlook', 'PowerPoint', 'Word', '文中系統']",www.104.com.tw/job/7a3ng?jobsource=jolist_c_relevance
資深金融風險數據分析人員 Senior Risk Analysis,烽泰科技有限公司,2021/08/24,"['Python', 'MS SQL', 'Excel', 'Outlook', 'PowerPoint', 'Word', '中文打字50~75']",www.104.com.tw/job/74peo?jobsource=jolist_c_relevance
資訊中心 - 大數據分析師,翰成數位科技股份有限公司,2021/08/24,"['Linux', 'Python', 'R', 'MySQL']",www.104.com.tw/job/6z9c7?jobsource=jolist_d_relevance
輿情數據分析助理,影響力數據顧問股份有限公司,2021/08/24,"['Excel', 'PowerPoint', 'Word']",www.104.com.tw/job/7d4si?jobsource=jolist_c_relevance
遊戲數據分析師,傳奇網路遊戲股份有限公司,2021/08/25,"['Excel', 'PowerPoint', 'Word', '中文打字20~50', '英文打字20~50']",www.104.com.tw/job/79ypd?jobsource=jolist_c_relevance
金融商業數據分析師,中國信託資融股份有限公司,2021/08/19,"['Python', 'PL/SQL', 'Excel', 'PowerPoint', 'Word', 'SAS']",www.104.com.tw/job/7apag?jobsource=jolist_c_relevance
顧客數據分析(內湖),中嘉數位股份有限公司,2021/08/26,"['Excel', 'PowerPoint']",www.104.com.tw/job/6q0lc?jobsource=jolist_c_relevance
